Date,Impressions,Engagements
4/1/2026,83,0
4/2/2026,132,7
4/3/2026,18,0
4/4/2026,12,2
4/5/2026,8,0
4/6/2026,60,0
4/7/2026,86,0
4/8/2026,88,0
4/9/2026,23,4
4/10/2026,61,1
4/11/2026,15,1
4/12/2026,29,0
4/13/2026,22,0
4/14/2026,177,8
4/15/2026,116,7
4/16/2026,135,1
4/17/2026,83,2
4/18/2026,21,0
4/19/2026,12,0
4/20/2026,57,1
4/21/2026,71,9
4/22/2026,31,0
4/23/2026,38,1
4/24/2026,40,0
4/25/2026,14,3
4/26/2026,12,0
4/27/2026,30,-1
4/28/2026,67,3
4/29/2026,55,6
4/30/2026,117,3
5/1/2026,16,2
5/2/2026,11,0
5/3/2026,29,0
5/4/2026,56,4
5/5/2026,72,1
5/6/2026,37,3
5/7/2026,38,2
5/8/2026,37,5
5/9/2026,9,1
5/10/2026,28,0
5/11/2026,78,1
5/12/2026,55,3
5/13/2026,51,12
5/14/2026,7,0
5/15/2026,16,2
5/16/2026,8,0
5/17/2026,6,0
5/18/2026,60,0
5/19/2026,29,3
5/20/2026,6,1
5/21/2026,28,0
5/22/2026,7,3
5/23/2026,4,0
5/24/2026,10,0
5/25/2026,36,0
5/26/2026,39,0
5/27/2026,18,3
5/28/2026,3,0
5/29/2026,88,6
5/30/2026,14,2
5/31/2026,8,1
6/1/2026,16,1
6/2/2026,353,5
6/3/2026,390,0
6/4/2026,477,1
6/5/2026,508,4
6/6/2026,219,5
6/7/2026,1013,0
6/8/2026,1834,5
6/9/2026,382,4
6/10/2026,192,2
6/11/2026,158,1
6/12/2026,152,3
6/13/2026,33,8
6/14/2026,153,3
6/15/2026,198,4
6/16/2026,73,1
6/17/2026,224,6
6/18/2026,64,5
6/19/2026,141,7
6/20/2026,89,4
6/21/2026,103,3
6/22/2026,336,16
6/23/2026,324,6
6/24/2026,136,7
6/25/2026,170,14
6/26/2026,160,8
6/27/2026,41,1
6/28/2026,67,1
6/29/2026,167,7
6/30/2026,125,10
7/1/2026,69,8
7/2/2026,24,1
7/3/2026,62,2
7/4/2026,16,10
7/5/2026,15,3
7/6/2026,12,0
7/7/2026,4,2
7/8/2026,50,2
7/9/2026,81,2
7/10/2026,80,11
7/11/2026,33,4
7/12/2026,7,0
7/13/2026,98,3
7/14/2026,10,4
7/15/2026,60,10
7/16/2026,37,2
7/17/2026,123,1
7/18/2026,7,0
7/19/2026,20,0
7/20/2026,87,7
7/21/2026,36,1
7/22/2026,75,5
7/23/2026,35,4
7/24/2026,32,1
7/25/2026,9,0
7/26/2026,9,0
7/27/2026,41,3
7/28/2026,36,5
7/29/2026,38,5
7/30/2026,50,0
7/31/2026,51,0
8/1/2026,12,0
8/2/2026,7,0
8/3/2026,42,5
8/4/2026,74,4
8/5/2026,62,3
8/6/2026,27,4
8/7/2026,32,4
8/8/2026,43,10
8/9/2026,114,7
8/10/2026,101,8
8/11/2026,37,2
8/12/2026,25,3
8/13/2026,37,0
8/14/2026,41,0
8/15/2026,3,0
8/16/2026,13,0
8/17/2026,38,0
8/18/2026,41,2
8/19/2026,21,2
