Name,LinkedIn URL,Substack URL,Other Channels
Tom Johnson,https://www.linkedin.com/in/tomjoht/,,I'd Rather Be Writing Blog + Podcast
Sarah O'Keefe,https://www.linkedin.com/in/sarahokeefe/,,Scriptorium Blog + Content Strategy Experts Podcast
Alan Pringle,https://www.linkedin.com/in/alanpringle/,,Scriptorium Blog + Content Strategy Experts Podcast
Scott Abel,https://www.linkedin.com/in/scottabel/,https://www.thecontentwrangler.com/feed,The Content Wrangler (Substack) + Coffee and Content
Fabrice Lacroix,https://www.linkedin.com/in/fabrice-lacroix/,,Fluid Topics Blog
Ellis Pratt,https://www.linkedin.com/in/ellispratt/,,Cherryleaf Blog + Podcast
Val Swisher,https://www.linkedin.com/in/valswisher/,,Content Rules Blog
Rahel Anne Bailie,https://www.linkedin.com/in/rahelannebailie/,,Content Seriously (ContentOps)
Stefan Gentz,https://www.linkedin.com/in/stefangentz/,,Adobe TechComm + DITAWORLD Host + tekom Speaker
Patrick Bosek,https://www.linkedin.com/in/patrickbosek/,,Heretto Webinare + Coffee and Content Co-Host
Michael Iantosca,https://www.linkedin.com/in/michaeliantosca/,,LinkedIn-Longforms zu CCMS + Knowledge Graphs + AI
Fabrizio Ferri-Benedetti,https://www.linkedin.com/in/fabrizioferri/,,passo.uno Blog (docs-as-code + AI in docs)
Ulrike Parson,https://www.linkedin.com/in/ulrike-parson-hamburg/,,parson Blog + iiRDS Steering Committee + tekom
Karsten Schrempp,https://www.linkedin.com/in/karsten-schrempp/,,PANTOPIX Blog + Webinare (Knowledge Graphs + Metadaten)
Manny Silva,https://www.linkedin.com/in/manuelrbsilva/,,docsastests.com Blog + Doc Detective
Renato Beninatto,https://www.linkedin.com/in/renatob,,Nimdzi Insights Co-Founder
Florian Faes,https://www.linkedin.com/in/florianfaes,,Slator Co-Founder + SlatorPod
Nataly Kelly,https://www.linkedin.com/in/natalykelly/,,borntobeglobal.com + Buch Take Your Company Global
Kirti Vashee,https://www.linkedin.com/in/krvashee/,,eMpTy Pages Blog + Translated/Imminent
Jost Zetzsche,https://www.linkedin.com/in/jostzetzsche/,,The Tool Box Journal Newsletter
Gabriel Fairman,https://www.linkedin.com/in/gabrielfairman,https://mergingminds.substack.com/feed,Merging Minds Podcast (täglicher LinkedIn-Poster)
Miguel Sepulveda,https://www.linkedin.com/in/yolocalizo/,,yolocalizo.com Blog + Globalization Director King
Marina Pantcheva,https://www.linkedin.com/in/marina-pantcheva-phd-2811404/,,RWS Linguistic AI + AI Localization Think Tank
Stefan Huyghe,https://www.linkedin.com/in/stefanhuyghe/,,LocDiscussion LinkedIn Live + Podcast
Dave Ruane,https://www.linkedin.com/in/davidruane/,,Process Innovation Challenge (LocWorld)
Bryan Montpetit,https://www.linkedin.com/in/bryanmontpetit/,,Reviver Global + Localization-Webinare
Konstantin Dranch,https://www.linkedin.com/in/kdranch/,,Custom.MT + GenAI in Localization Conference
Andrej Zito,https://www.linkedin.com/in/andrejzito/,,Localization Academy (YouTube + Podcast)
Jourik Ciesielski,https://www.linkedin.com/in/jourik-ciesielski-183a1198/,,Nimdzi Tech Research + State of the Language Industry
Jan Hinrichs,https://www.linkedin.com/in/jahinrichs,,Beluga Linguistics + LocLunch Founder
Kerstin Berns,https://www.linkedin.com/in/kerstin-berns/,,blc Blog + #DataCafe + Women in Localization
Markus Nickl,https://www.linkedin.com/in/markus-nickl/,,doctima Blog + Kolumne technische kommunikation
Sebastian Göttel,https://www.linkedin.com/in/sebastian-g%C3%B6ttel-7286831/,,Quanos (Schema ST4) + tekom Speaker
Klaus Fleischmann,https://www.linkedin.com/in/klaus-fleischmann-9028789/,,Kaleidoscope Blog + Webinare + Trados Talks
Jasmin Nesbigall,https://www.linkedin.com/in/jasmin-nesbigall-1599231b3/,,oneword (MTPE + Terminologie) + tekom Speakerin
Klaas Posselt,https://www.linkedin.com/in/klaasposselt/,https://einmanncombo.de/feed/,einmanncombo Blog + YouTube (InDesign + PDF/UA)
Marco Jänicke,https://www.linkedin.com/in/marco-j%C3%A4nicke-639378148/,,bravecroc.de Blog (Technische Redaktion) + tekom
Mark Herten,https://www.linkedin.com/in/mark-herten/,,Podcast #Markfragtnach (B2B-Industrie-Marketing)
Robert Weber,https://www.linkedin.com/in/robert-weber-8920a448/,,Industrial AI Podcast + Fachjournalist Maschinenbau
