Name,LinkedIn URL,Substack URL,Other Channels
IDW Institut der Wirtschaftspruefer,https://de.linkedin.com/company/idw-deutschland,,Berufsinstitut DE 28453 geprueft
DStV Deutscher Steuerberaterverband,https://de.linkedin.com/company/deutscher-steuerberaterverband-e-v-,,Steuerberaterverband DE 19047 geprueft
ICV Internationaler Controller Verein,https://www.linkedin.com/company/international-association-of-controllers-icv,,Fachverband Controlling 9820 geprueft
BDU Bundesverband Deutscher Unternehmensberatungen,https://www.linkedin.com/company/bundesverband-deutscher-unternehmensberater-bdu-e-v-/,,Beraterverband 6912 geprueft
BVBC Bundesverband der Bilanzbuchhalter und Controller,https://de.linkedin.com/company/bundesverband-der-bilanzbuchhalter-und-controller-e-v,,Fachverband Rechnungswesen 2303 geprueft
Steuerberaterverband Berlin-Brandenburg,https://de.linkedin.com/company/stbverband,,regional 2907 geprueft
Steuerberaterverband Niedersachsen Sachsen-Anhalt,https://de.linkedin.com/company/stbv,,regional 2548 geprueft
Steuerberaterverband Hamburg,https://de.linkedin.com/company/steuerberaterverband-hamburg,,regional 1115 geprueft
Steuerberaterverband Westfalen-Lippe,https://de.linkedin.com/company/stbv-wl,,regional 976 geprueft
Steuerberaterverband Baden-Wuerttemberg,https://de.linkedin.com/company/dstv-bw-steuerberaterverband-baden-w%C3%BCrttemberg,,regional 527 geprueft
KSW Kammer der Steuerberater und Wirtschaftspruefer Oesterreich,https://at.linkedin.com/company/ksw-stb-wp,,Kammer AT 8764 geprueft
Institut Oesterreichischer Wirtschaftspruefer,https://at.linkedin.com/company/institut-oesterreichischer-wirtschaftspruefer,,Berufsinstitut AT 1071 geprueft
Roedl und Partner,https://www.linkedin.com/company/roedl-&-partner,,ICP WP StB Beratung 48970 geprueft
RSM Ebner Stolz,https://de.linkedin.com/company/ebner-stolz,,ICP WP StB Beratung 22479 geprueft
Baker Tilly Germany,https://de.linkedin.com/company/bakertilly,,ICP WP StB Beratung 14849 geprueft
CURACON,https://de.linkedin.com/company/curacon,,ICP WP Gesundheits- und Sozialwesen 7648 geprueft
Solidaris Unternehmensgruppe,https://de.linkedin.com/company/solidarisunternehmensgruppe,,ICP WP Gesundheits- und Sozialwesen 3486 geprueft
FINANCE Magazin (F.A.Z.-Gruppe),https://de.linkedin.com/company/finance-magazin,,Fachmedium CFO 140653 geprueft
Horvath,https://www.linkedin.com/company/horvathpartners,,Beratung Controlling 59327 geprueft NUR Themenquelle kein Kommentarziel
CTcon Management Consultants,https://de.linkedin.com/company/ctcon-gmbh,,Beratung Unternehmenssteuerung 2958 geprueft NUR Themenquelle kein Kommentarziel
Diakonie Deutschland,https://de.linkedin.com/company/diakonie-deutschland,,Traegerverband 17033 geprueft
Deutscher Caritasverband,https://de.linkedin.com/company/deutscher-caritasverband-e.v.,,Traegerverband 12857 geprueft
bpa Bundesverband privater Anbieter sozialer Dienste,https://de.linkedin.com/company/der-bpa/,,Traegerverband privat 7470 geprueft
FINSOZ e.V. Digitalverband Sozialwirtschaft,https://www.linkedin.com/company/finsoz,,Digitalverband Sozialwirtschaft 1613 geprueft
GdW Bundesverband Wohnungswirtschaft,https://www.linkedin.com/company/gdw-bundesverband-deutscher-wohnungs--und-immobilienunternehmen-e-v-,,Wohnungswirtschaft 15925 geprueft
EXPERTsuisse,https://www.linkedin.com/school/expertsuisse/,,Berufsverband CH UNGEPRUEFT Schulseite
Controller Institut Austria,https://at.linkedin.com/school/controller-institut-austria/,,Fachinstitut AT UNGEPRUEFT Schulseite
Prof. Dr. Utz Schaeffer (WHU),https://www.linkedin.com/in/utz-sch%C3%A4ffer-3268769/,,Hochschule Controlling UNGEPRUEFT Personenprofil
Prof. Dr. Juergen Weber (WHU),https://www.linkedin.com/in/profjuergenweber/,,Hochschule Controlling UNGEPRUEFT Personenprofil
Dr. Volker Steinhuebel (IFC EBERT),https://www.linkedin.com/in/dr-volker-steinh%C3%BCbel-7b19a551/,,Controlling-Institut UNGEPRUEFT Personenprofil
Prof. Helmut Kreidenweis (Sozialinformatik KU Eichstaett),https://www.linkedin.com/in/prof-helmut-kreidenweis-699024243/,,Sozialinformatik UNGEPRUEFT Personenprofil
Christian Gebert,https://www.linkedin.com/in/christian-gebert-steuerberater,,Einzelstimme Steuerberater fuer Unternehmer | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Michael Ammer,https://www.linkedin.com/in/michael-ammer-2690281a1,,Einzelstimme Partner Steuerberater | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Eric Werner LL.M.,https://www.linkedin.com/in/eweref,,Einzelstimme Senior Manager Steuerberater | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Patrick Zirkl,https://www.linkedin.com/in/patrick-zirkl-292256191,,Einzelstimme Leitender Steuerberater BG&P Oesterreich | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Tobias Kampmann,https://www.linkedin.com/in/tobias-kampmann-bt,,Einzelstimme Restrukturierung | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Sascha Jonen,https://www.linkedin.com/in/sascha-jonen-72a2041a8,,Einzelstimme Controlling und Restrukturierung KMU | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Norbert Geroldinger,https://www.linkedin.com/in/geroldinger,,Einzelstimme Interim CFO KMU Liquiditaet und Controlling | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Klaus Pichler,https://www.linkedin.com/in/klaus-pichler-transformation,,Einzelstimme Interim-Geschaeftsfuehrer und Sanierer produzierende Industrie | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Christoph Otto,https://www.linkedin.com/in/christoph-otto-8a9503170,,Einzelstimme Turnaround Klinikverbuende Interim-COO | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Alexander Jankovic,https://www.linkedin.com/in/alexander-jankovi%C4%87-458813249,,Einzelstimme Gruender BesserFinanzen | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Sascha Ogrodowczyk,https://www.linkedin.com/in/sascha-ogrodowczyk,,Einzelstimme Externer CFO und CFO as a Service KMU | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Irfan Yasar,https://www.linkedin.com/in/irfan-yasar-57083b60,,Einzelstimme Controlling und Finanzen Power BI | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Thomas Bauer,https://www.linkedin.com/in/thomas-bauer-684308139,,Einzelstimme MCG unterstuetzt CFOs und Controlling-Verantwortliche | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Daniela Beck,https://www.linkedin.com/in/beckdaniela,,Einzelstimme CFO | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Roman Braun,https://www.linkedin.com/in/roman-braun-,,Einzelstimme Forecast KPIs Cash | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Christopher Koehn,https://www.linkedin.com/in/christopher-koehn,,Einzelstimme Controller BI und Automatisierung | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Pitt Ballnuweit,https://www.linkedin.com/in/pitt-ballnuweit-3bb886181,,Einzelstimme Finance Leader Strategie und Zahlen | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Dr. Carl-Christian von Weyhe,https://www.linkedin.com/in/dr-carl-christian-von-weyhe-aa1a831a7,,Einzelstimme CFO Middle and Eastern Europe | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
Markus Mord,https://www.linkedin.com/in/markus-mord,,Einzelstimme Krankenhausmanagement | Fund Discovery-Lauf 19.08.2026 UNGEPRUEFT Personenprofil
